step,s,lambda,d_lambda_ds,sigma_min_DG,tangent_dot_previous,tangent_flip_applied
0,0.000000,0.200000,-0.844608,1.397208e+00,0.468309,False
1,0.020000,0.183106,-0.844710,1.404933e+00,0.999973,False
2,0.043000,0.163678,-0.844690,1.414225e+00,0.999960,False
3,0.069450,0.141338,-0.844460,1.425508e+00,0.999941,False
4,0.099867,0.115659,-0.843878,1.439370e+00,0.999911,False
5,0.134848,0.086157,-0.842709,1.456668e+00,0.999861,False
6,0.175075,0.052295,-0.840557,1.478689e+00,0.999778,False
7,0.221336,0.013487,-0.836740,1.507473e+00,0.999630,False
8,0.271336,-0.028212,-0.830535,1.543884e+00,0.999438,False
9,0.321336,-0.069537,-0.821526,1.587477e+00,0.999259,False
10,0.371336,-0.110328,-0.808926,1.640531e+00,0.999027,False
11,0.421336,-0.150384,-0.791870,1.705976e+00,0.998740,False
12,0.471336,-0.189464,-0.769564,1.787364e+00,0.998415,False
13,0.521336,-0.227289,-0.741539,1.888592e+00,0.998094,False
14,0.571336,-0.263574,-0.707974,2.013227e+00,0.997848,False
15,0.621336,-0.298063,-0.669944,2.163440e+00,0.997753,False
16,0.671336,-0.330576,-0.629394,2.338834e+00,0.997851,False
17,0.721336,-0.361045,-0.588776,2.535684e+00,0.998125,False
18,0.771336,-0.389528,-0.550530,2.747084e+00,0.998508,False
19,0.821336,-0.416196,-0.516677,2.963998e+00,0.998918,False
20,0.871336,-0.441311,-0.488722,3.176738e+00,0.999295,False
21,0.921336,-0.465196,-0.467816,3.376209e+00,0.999607,False
22,0.971336,-0.488234,-0.455122,3.554474e+00,0.999838,False
